
Frequency	dB	Unweighted
19.5	61.2
19.8	60.8
20.1	60.8
20.3	61.4
20.6	61.7
20.9	62.1
21.2	61.7
21.6	61.7
21.9	62.6
22.2	61.7
22.5	63.0
22.8	63.2
23.2	63.3
23.5	62.9
23.8	63.0
24.2	64.0
24.5	63.8
24.9	63.8
25.3	63.1
25.6	63.1
26	64.5
26.4	64.6
26.8	64.1
27.2	64.6
27.5	64.2
28	64.7
28.4	64.9
28.8	64.3
29.2	64.9
29.6	65.5
30	64.4
30.5	65.5
30.9	64.6
31.4	65.3
31.8	66.1
32.3	65.9
32.8	65.3
33.2	66.4
33.7	66.0
34.2	65.4
34.7	65.9
35.2	66.6
35.7	65.7
36.2	65.4
36.8	66.6
37.3	66.5
37.9	66.8
38.4	66.0
39	66.9
39.5	66.4
40.1	66.6
40.7	67.0
41.3	66.6
41.9	66.3
42.5	67.5
43.1	67.8
43.7	67.2
44.4	66.7
45	67.1
45.7	67.9
46.3	68.0
47	67.4
47.7	67.4
48.4	67.8
49.1	67.1
49.8	67.4
50.5	67.3
51.3	67.9
52	67.9
52.8	67.6
53.5	68.0
54.3	68.2
55.1	68.4
55.9	68.7
56.7	67.6
57.5	67.5
58.4	67.8
59.2	68.2
60.1	68.3
61	67.9
61.8	68.5
62.7	68.4
63.7	68.6
64.6	67.9
65.5	68.9
66.5	68.5
67.4	69.2
68.4	68.7
69.4	68.3
70.4	69.7
71.5	68.6
72.5	68.5
73.5	69.4
74.6	69.5
75.7	68.5
76.8	69.9
77.9	69.7
79.1	69.0
80.2	68.9
81.4	69.4
82.6	69.2
83.8	69.9
85	68.6
86.2	69.5
87.5	68.6
88.7	69.0
90	69.1
91.3	69.3
92.7	68.8
94	69.6
95.4	70.1
96.8	69.9
98.2	70.1
99.6	69.5
101	69.1
103	68.8
104	69.4
106	70.0
107	69.1
109	68.8
110	69.0
112	69.5
113	69.1
115	69.8
117	70.2
118	69.9
120	69.3
122	69.6
124	69.0
125	69.3
127	68.7
129	69.9
131	68.8
133	69.9
135	68.9
137	69.8
139	69.0
141	68.9
143	69.0
145	69.5
147	69.2
149	69.4
151	69.7
154	69.4
156	69.7
158	69.0
160	69.7
163	69.2
165	69.5
168	68.4
170	69.4
172	69.3
175	69.4
177	69.4
180	68.1
183	68.8
185	69.4
188	69.0
191	68.3
194	68.3
196	69.1
199	68.5
202	69.0
205	68.4
208	68.5
211	68.0
214	67.6
217	68.8
220	68.0
224	67.3
227	68.5
230	68.5
234	67.5
237	68.3
240	68.4
244	67.3
247	68.2
251	68.1
255	67.9
258	67.3
262	67.1
266	67.3
270	67.5
274	66.9
278	67.0
282	66.7
286	67.4
290	67.1
294	66.6
298	67.0
303	66.6
307	65.6
312	65.8
316	65.6
321	65.2
325	65.7
330	66.3
335	65.1
340	65.8
345	65.0
350	65.9
355	65.2
360	65.3
365	64.2
371	65.5
376	64.6
382	65.0
387	64.9
393	64.4
398	64.7
404	63.7
410	64.0
416	63.8
422	63.1
428	62.7
434	63.3
441	62.7
447	63.1
454	62.3
460	62.2
467	62.7
474	62.0
481	62.4
488	62.2
495	62.5
502	62.0
509	61.9
517	60.8
524	62.0
532	61.2
540	61.6
547	60.3
555	60.6
563	60.8
572	60.1
580	59.8
588	60.3
597	60.5
606	59.3
614	59.5
623	59.3
632	58.9
642	58.6
651	58.8
660	58.6
670	58.6
680	58.4
690	58.2
700	58.8
710	59.0
720	57.8
731	58.1
741	58.5
752	57.4
763	58.3
774	57.7
785	58.2
797	57.4
808	56.7
820	57.8
832	56.7
844	57.2
856	57.4
869	57.1
882	57.2
894	57.1
907	56.9
921	56.6
934	56.7
948	56.4
961	56.1
975	55.6
990	56.4
1004	55.8
1019	55.8
1033	55.8
1048	56.6
1064	55.7
1079	56.4
1095	55.7
1111	55.9
1127	55.8
1143	56.1
1160	55.6
1177	56.4
1194	56.3
1211	55.4
1229	56.8
1247	55.8
1265	55.8
1283	56.0
1302	56.9
1321	56.6
1340	57.1
1360	56.9
1379	56.2
1399	56.8
1420	57.0
1440	57.1
1461	57.7
1483	57.9
1504	58.1
1526	57.9
1548	58.3
1571	58.6
1594	57.7
1617	58.8
1640	58.7
1664	59.8
1688	59.1
1713	60.3
1738	60.3
1763	61.2
